date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:28	328/328	---M-Z	200	added ('OK')	text/plain	date:Tue,%2021%20Jun%202022%2023:48:31%20GMT	https://www.cafecitti.com/robots.txt		(from )
11:26:29	271056/271056	---M-Z	200	added ('OK')	text/html	etag:W/%22d2e9d73ab7fd8b34ad5e3a87a5dc441e--gzip%22	https://www.cafecitti.com/	C:/Users/91829/OneDrive/Desktop/panding%20post/cafecitti/www.cafecitti.com/index.html	(from )
11:26:30	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Thu,%2023%20Jun%202022%2005:56:30%20GMT	http://static1.squarespace.com/static/5ff6767ec271144bb2a523f2/t/60aab5ccc37bbe66f99108e3/1621800398917/citti_logo_2.jpg?format=1500w	C:/Users/91829/OneDrive/Desktop/panding%20post/cafecitti/static1.squarespace.com/static/5ff6767ec271144bb2a523f2/t/60aab5ccc37bbe66f99108e3/1621800398917/citti_logo_2.026f7.delayed	(from https://www.cafecitti.com/)
11:26:32	30143/30143	---M--	200	added ('OK')	image/jpeg	etag:CNvB+KTN4PACEAE=	https://images.squarespace-cdn.com/content/5ff6767ec271144bb2a523f2/1621800396664-DM8KWU1FJR7P3M7B17AE/citti_logo_2.jpg?content-type=image%2Fjpeg	C:/Users/91829/OneDrive/Desktop/panding%20post/cafecitti/images.squarespace-cdn.com/content/5ff6767ec271144bb2a523f2/1621800396664-DM8KWU1FJR7P3M7B17AE/citti_logo_2ee8a.jpg	(from https://www.cafecitti.com/)
11:26:32	183/183	---M-Z	200	added ('OK')	text/javascript	etag:%226e08f72e91b9bf28c4e827726dcfac4a%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-df0bcb3fb161c9761a2a8-min.en-US.js	C:/Users/91829/OneDrive/Desktop/panding%20post/cafecitti/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-df0bcb3fb161c9761a2a8-min.en-US.js	(from https://www.cafecitti.com/)
11:26:32	43523/43523	---M-Z	200	added ('OK')	text/javascript	etag:%22f4b230dad791cfb9f8ea64c9781aadfb%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	C:/Users/91829/OneDrive/Desktop/panding%20post/cafecitti/assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	(from https://www.cafecitti.com/)
11:26:32	18796/18796	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2023%20Jun%202022%2005:56:31%20GMT	http://use.typekit.net/ik/IGMzC3Mlfl8MIukpHjASSEOVR0M0x41MUG3NsU1GNSXfelIIfFHN4UJLFRbh52jhWDmcZRjaFRi8jDJawQIXFe4KwcIuwRFcwy7-MkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0ScmRieB0ZhU8OAyyde8KiWblj1JuFfoDSWmyScmDSeBRZPoRdhXCHKoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0dcmXOeBDOcu8OeFyZcmR-WsX-PoRdhXCdeNRjAUGdaFXOY48jasydciCZPuGjAUTj1mXOA4kFQb0SaBujW48Sagyjh90jhNlOYFUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1Oco8ifUaiaS0jWw0dA9CiaiaOcFyZcmR-WsX-PoRdhXCiaiaO148jasydciCZPuGjAUTj1mXOA4kFQb0SaBujW48Sagyjh90jhNlOYiaikoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlJ6lzS1gGZWmDOWgkdkJZdcmuZPuGjABDOAikdas8ShClZe8DSeUypPGHf50rMsMMeMb6MKGHf5crMsMMeMS6MKGHf57rMsMMeMt6MKGHfw-XMyMgeMb6MKGHfwKXMyMgeM96MKGHfwkXMyMgeMS6MKGHfwpXMyMgeMt6MKGHfwhXMyMgegI6MTMgn5xlx39.js	C:/Users/91829/OneDrive/Desktop/panding%20post/cafecitti/use.typekit.net/ik/IGMzC3Mlfl8MIukpHjASSEOVR0M0x41MUG3NsU1GNSXfelIIfFHN4UJLFRbh52jhWDmcZRjaFRi8jDJawQIXFe4KwcIuwRFcwy7-MkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if	(from https://www.cafecitti.com/)
11:26:34	82046/82046	---M-Z	200	added ('OK')	text/javascript	etag:%2203e5ef7c77d113abf6178fce61ec6344%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	C:/Users/91829/OneDrive/Desktop/panding%20post/cafecitti/assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	(from https://www.cafecitti.com/)
11:26:37	121481/121481	---M-Z	200	added ('OK')	text/javascript	etag:%22713060c46bea7b774c670d8d1582f9b8%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-51def4af8f210f9d1e4fa-min.en-US.js	C:/Users/91829/OneDrive/Desktop/panding%20post/cafecitti/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-51def4af8f210f9d1e4fa-min.en-US.js	(from https://www.cafecitti.com/)
11:26:46	245961/245961	---M-Z	200	added ('OK')	text/javascript	etag:%22f82a717dbd72eebca89b6ad1e26438c8%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-1f7107f1c77c3d102a5a3-min.en-US.js	C:/Users/91829/OneDrive/Desktop/panding%20post/cafecitti/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-1f7107f1c77c3d102a5a3-min.en-US.js	(from https://www.cafecitti.com/)
11:26:48	25958/25958	---M-Z	200	added ('OK')	text/javascript	etag:%2230e95604bc2a8ac5b65c4ccfa72c81f8%22	http://assets.squarespace.com/universal/scripts-compressed/performance-27bdd9973d5746e78e9dc-min.en-US.js	C:/Users/91829/OneDrive/Desktop/panding%20post/cafecitti/assets.squarespace.com/universal/scripts-compressed/performance-27bdd9973d5746e78e9dc-min.en-US.js	(from https://www.cafecitti.com/)
11:26:52	897593/897593	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Jun%202022%2005:56:49%20GMT	https://static1.squarespace.com/static/versioned-site-css/5ff6767ec271144bb2a523f2/25/5c5a519771c10ba3470d8101/5ff6767ec271144bb2a5240b/1237/site.css	C:/Users/91829/OneDrive/Desktop/panding%20post/cafecitti/static1.squarespace.com/static/versioned-site-css/5ff6767ec271144bb2a523f2/25/5c5a519771c10ba3470d8101/5ff6767ec271144bb2a5240b/1237/site.css	(from https://www.cafecitti.com/)
11:26:53	575871/575871	---M-Z	200	added ('OK')	text/javascript	etag:%22236f9b75f28ba39aa3a9da264796423f%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-0c99b8bf7f3dd5358b2f5-min.en-US.js	C:/Users/91829/OneDrive/Desktop/panding%20post/cafecitti/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-0c99b8bf7f3dd5358b2f5-min.en-US.js	(from https://www.cafecitti.com/)
